datetime,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,forecast_hours
2022-12-01 10:00:00+10:00,2.1183,1.93,2.0847,1.9943,-23
2022-12-01 11:00:00+10:00,1.9765,2.2325,2.2072,2.0455,-22
2022-12-01 12:00:00+10:00,2.3988,2.4058,2.2082,2.1927,-21
2022-12-01 13:00:00+10:00,2.689,2.3462,2.2682,2.2233,-20
2022-12-01 14:00:00+10:00,2.714,2.492,2.5063,2.2953,-19
2022-12-01 15:00:00+10:00,2.7955,2.4947,2.4125,2.3537,-18
2022-12-01 16:00:00+10:00,2.4312,2.3047,2.2678,2.1797,-17
2022-12-01 17:00:00+10:00,2.3263,2.2065,2.2945,2.0542,-16
2022-12-01 18:00:00+10:00,2.2772,2.232,2.0702,1.8203,-15
2022-12-01 19:00:00+10:00,1.9885,2.0502,1.9058,1.5727,-14
2022-12-01 20:00:00+10:00,1.685,1.6145,1.4925,0.6463,-13
2022-12-01 21:00:00+10:00,1.193,1.3073,1.1422,0.6693,-12
2022-12-01 22:00:00+10:00,0.809,1.381,0.6413,0.7232,-11
2022-12-01 23:00:00+10:00,0.5655,1.1465,0.0877,0.8707,-10
2022-12-02 00:00:00+10:00,0.5622,0.8633,0.0903,0.6862,-9
2022-12-02 01:00:00+10:00,1.789672556,1.912776293,1.652204849,1.574664859,-8
2022-12-02 02:00:00+10:00,1.0241,0.388,0.2425,0.0799,-7
2022-12-02 03:00:00+10:00,0.899,0.0998,0.1415,0.044,-6
2022-12-02 04:00:00+10:00,0.7957,0.076,0.2065,0.0537,-5
2022-12-02 05:00:00+10:00,0.4205,0.0848,0.2882,0.0838,-4
2022-12-02 06:00:00+10:00,0.8635,0.3525,1.0885,0.2368,-3
2022-12-02 07:00:00+10:00,0.7472,1.2523,1.3133,0.8813,-2
2022-12-02 08:00:00+10:00,1.1608,1.8965,2.122,1.7423,-1
2022-12-02 09:00:00+10:00,1.7672,2.2863,2.3278,1.9635,0
2022-12-02 10:00:00+10:00,2.118025303,1.987282157,2.079533339,2.045682192,1
2022-12-02 11:00:00+10:00,2.305043936,2.160887241,2.215407372,2.221111059,2
2022-12-02 12:00:00+10:00,2.550428867,2.401367664,2.390012026,2.423234463,3
2022-12-02 13:00:00+10:00,2.570096016,2.432675123,2.353586674,2.391151667,4
2022-12-02 14:00:00+10:00,2.579397917,2.435536146,2.316749334,2.381220102,5
2022-12-02 15:00:00+10:00,2.466001034,2.311880589,2.1921947,2.299828291,6
2022-12-02 16:00:00+10:00,2.321478844,2.188442469,2.03886795,2.186784267,7
2022-12-02 17:00:00+10:00,2.089894056,1.971030474,1.819002748,1.963726878,8
2022-12-02 18:00:00+10:00,1.945168734,1.800755024,1.695289612,1.775218129,9
2022-12-02 19:00:00+10:00,1.739067912,1.582027674,1.494415164,1.552697182,10
2022-12-02 20:00:00+10:00,1.622434378,1.520852685,1.398359895,1.401371121,11
2022-12-02 21:00:00+10:00,1.610787749,1.577518582,1.33704865,1.302491188,12
2022-12-02 22:00:00+10:00,1.29978776,1.337286949,1.064614534,1.044427395,13
2022-12-02 23:00:00+10:00,1.088858366,1.177472591,0.919564009,0.911033332,14
2022-12-03 00:00:00+10:00,1.071152925,1.1286062,0.963883758,0.940704346,15
2022-12-03 01:00:00+10:00,1.357912064,1.3550632,1.275676489,1.190406084,16
2022-12-03 02:00:00+10:00,0.861310005,0.912740231,0.824677825,0.80092001,17
2022-12-03 03:00:00+10:00,0.55952394,0.661763668,0.592654705,0.629633784,18
2022-12-03 04:00:00+10:00,0.59671855,0.6926651,0.611892343,0.639077425,19
2022-12-03 05:00:00+10:00,0.568998575,0.677969694,0.597695231,0.625169516,20
2022-12-03 06:00:00+10:00,0.800120711,0.878031731,0.748044133,0.709131837,21
2022-12-03 07:00:00+10:00,1.186341405,1.207253337,1.031841993,0.910568416,22
2022-12-03 08:00:00+10:00,1.714400172,1.70286715,1.529071808,1.402999878,23
2022-12-03 09:00:00+10:00,2.161814928,2.148668051,1.990876198,1.908003449,24
