datetime,OZONE_BARGO,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,OZONE_OAKDALE,forecast_hours
2023/06/12 10:00,1.82,1.093,0.349283,0.8785,0.9002,1.3647,-12
2023/06/12 11:00,1.7502,1.5773,0.630083,1.4212,1.243,1.5318,-11
2023/06/12 12:00,1.6437,1.7563,0.639583,1.6995,1.5437,1.6077,-10
2023/06/12 13:00,1.6705,1.9977,0.589483,1.808,2.0007,1.8737,-9
2023/06/12 14:00,2.0267,2.2322,1.182183,1.9567,2.3872,2.6305,-8
2023/06/12 15:00,1.7045,2.0622,0.881483,1.1098,1.927,1.7067,-7
2023/06/12 16:00,1.3767,1.6053,0.552683,0.9475,1.1205,1.2707,-6
2023/06/12 17:00,0.559,0.8908,0.326983,0.3943,0.2988,2.2438,-5
2023/06/12 18:00,0.1188,0.200250221,0.289383,0.0298,0.1143,2.2478,-4
2023/06/12 19:00,0.1967,0.1934,0.133583,0.0585,0.0775,2.2713,-3
2023/06/12 20:00,0.0765,0.1402,0.070283,0.0273,0.0593,2.0905,-2
2023/06/12 21:00,0.0757,0.122,0.014683,0.0317,0.0487,1.9993,-1
2023/06/12 22:00,0.0688,0.073,0.022483,0.0168,0.0488,1.9833,0
2023/06/12 23:00,0.21090506,0,0,0,0,1.769696712,1
2023/06/13 0:00,0.117747888,0,0,0,0,1.703096628,2
2023/06/13 1:00,0.038751453,0,0,0,0,1.444311619,3
2023/06/13 2:00,0.093624547,0,0,0,0,1.356331229,4
2023/06/13 3:00,0.084519744,0,0,0,0,1.337107658,5
2023/06/13 4:00,0.021949559,0,0,0,0,1.252500534,6
2023/06/13 5:00,0.007497579,0,0,0,0,1.185499907,7
2023/06/13 6:00,0.061314464,0,0,0,0,1.144022226,8
2023/06/13 7:00,0.275736004,0,0,0,0,1.159958363,9
2023/06/13 8:00,0.702037811,0.023741096,0,0.126158252,0.037796393,1.226674557,10
2023/06/13 9:00,1.171364427,0.326211959,0.273003697,0.388705671,0.329337358,1.358210564,11
2023/06/13 10:00,1.450200558,0.692756176,0.727869868,0.759460151,0.655688107,1.646389723,12
2023/06/13 11:00,1.756032348,1.133004069,1.198007584,1.183349967,1.093011022,1.954369068,13
2023/06/13 12:00,2.014117718,1.524434924,1.587591171,1.516915083,1.447006464,2.113084793,14
2023/06/13 13:00,2.022282362,1.732408166,1.756900311,1.612656951,1.58728683,2.098247766,15
2023/06/13 14:00,2.104107618,1.901156545,1.948259592,1.710461974,1.638655543,2.169439554,16
2023/06/13 15:00,1.969791889,1.656240225,1.748349667,1.418604493,1.320262313,2.105389357,17
2023/06/13 16:00,1.587720752,1.193404078,1.452318907,0.905605972,0.778627574,2.047017813,18
