datetime,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,forecast_hours
2022-12-01 15:00:00+10:00,2.7955,2.4947,2.4125,2.3537,-23
2022-12-01 16:00:00+10:00,2.4312,2.3047,2.2678,2.1797,-22
2022-12-01 17:00:00+10:00,2.3263,2.2065,2.2945,2.0542,-21
2022-12-01 18:00:00+10:00,2.2772,2.232,2.0702,1.8203,-20
2022-12-01 19:00:00+10:00,1.9885,2.0502,1.9058,1.5727,-19
2022-12-01 20:00:00+10:00,1.685,1.6145,1.4925,0.6463,-18
2022-12-01 21:00:00+10:00,1.193,1.3073,1.1422,0.6693,-17
2022-12-01 22:00:00+10:00,0.809,1.381,0.6413,0.7232,-16
2022-12-01 23:00:00+10:00,0.5655,1.1465,0.0877,0.8707,-15
2022-12-02 00:00:00+10:00,0.5622,0.8633,0.0903,0.6862,-14
2022-12-02 01:00:00+10:00,1.7896725556604507,1.9127762928669887,1.6522048493540684,1.5746648592990937,-13
2022-12-02 02:00:00+10:00,1.0241,0.388,0.2425,0.0799,-12
2022-12-02 03:00:00+10:00,0.899,0.0998,0.1415,0.044,-11
2022-12-02 04:00:00+10:00,0.7957,0.076,0.2065,0.0537,-10
2022-12-02 05:00:00+10:00,0.4205,0.0848,0.2882,0.0838,-9
2022-12-02 06:00:00+10:00,0.8635,0.3525,1.0885,0.2368,-8
2022-12-02 07:00:00+10:00,0.7472,1.2523,1.3133,0.8813,-7
2022-12-02 08:00:00+10:00,1.1608,1.8965,2.122,1.7423,-6
2022-12-02 09:00:00+10:00,1.7672,2.2863,2.3278,1.9635,-5
2022-12-02 10:00:00+10:00,2.3718,2.2977,2.22,2.2953,-4
2022-12-02 11:00:00+10:00,2.4775,2.2372,2.2753,2.3895,-3
2022-12-02 12:00:00+10:00,2.5338,2.3032,2.319,2.2438,-2
2022-12-02 13:00:00+10:00,2.4007,2.234,2.263,1.8617,-1
2022-12-02 14:00:00+10:00,2.3373,2.2193,2.2742,2.1153,0
2022-12-02 15:00:00+10:00,2.1935250759124756,1.8700937032699585,2.196704864501953,2.2716927528381348,1
2022-12-02 16:00:00+10:00,2.2455155849456787,1.918670892715454,2.187267541885376,2.2776529788970947,2
2022-12-02 17:00:00+10:00,2.308443784713745,2.0329360961914062,2.2046754360198975,2.3021066188812256,3
2022-12-02 18:00:00+10:00,2.0533788204193115,1.8618323802947998,1.8955844640731812,1.9529790878295898,4
2022-12-02 19:00:00+10:00,1.6840202808380127,1.6139779090881348,1.4497644901275635,1.511645793914795,5
2022-12-02 20:00:00+10:00,1.4051998853683472,1.4310414791107178,1.1193439960479736,1.2036206722259521,6
2022-12-02 21:00:00+10:00,1.0875627994537354,1.2430133819580078,0.7984387874603271,0.8672964572906494,7
2022-12-02 22:00:00+10:00,0.8202260732650757,1.0060420036315918,0.6561001539230347,0.7354884147644043,8
2022-12-02 23:00:00+10:00,0.8229358196258545,0.9727687835693359,0.692842960357666,0.7741905450820923,9
2022-12-03 00:00:00+10:00,0.7459908723831177,0.8433812856674194,0.6983202695846558,0.7639299631118774,10
2022-12-03 01:00:00+10:00,1.7327288389205933,1.8126575946807861,1.5315144062042236,1.497828483581543,11
2022-12-03 02:00:00+10:00,0.684503436088562,0.8196731805801392,0.6758018732070923,0.7022421360015869,12
2022-12-03 03:00:00+10:00,0.40352678298950195,0.5695441961288452,0.5089502334594727,0.5896209478378296,13
2022-12-03 04:00:00+10:00,0.421464204788208,0.6052097082138062,0.508762001991272,0.5854215621948242,14
2022-12-03 05:00:00+10:00,0.3978078365325928,0.5595649480819702,0.5023173093795776,0.5813916921615601,15
2022-12-03 06:00:00+10:00,0.685920238494873,0.8204717636108398,0.6527571678161621,0.6536937952041626,16
2022-12-03 07:00:00+10:00,0.9694418907165527,1.0079584121704102,0.879245400428772,0.803138256072998,17
2022-12-03 08:00:00+10:00,1.4972772598266602,1.463634729385376,1.38958740234375,1.246848464012146,18
2022-12-03 09:00:00+10:00,2.0155394077301025,1.9971290826797485,2.0275349617004395,1.9709666967391968,19
2022-12-03 10:00:00+10:00,2.4472715854644775,2.419318437576294,2.45727276802063,2.42415189743042,20
2022-12-03 11:00:00+10:00,2.6960268020629883,2.5933127403259277,2.673771381378174,2.6501870155334473,21
2022-12-03 12:00:00+10:00,2.8462629318237305,2.6807289123535156,2.7824368476867676,2.744386672973633,22
2022-12-03 13:00:00+10:00,2.732935667037964,2.5735678672790527,2.63138484954834,2.6208367347717285,23
2022-12-03 14:00:00+10:00,2.6878621578216553,2.577632188796997,2.593545436859131,2.565304756164551,24
