datetime,OZONE_PARRAMATTA NORTH,OZONE_PENRITH,OZONE_RICHMOND,OZONE_ROUSE HILL,OZONE_ST MARYS,forecast_hours
2023/06/14 5:00,0.327420831,0.364669859,0.519775629,1.526750565,0.132962942,31
2023/06/14 6:00,0.250755012,0.267128766,0.420897245,1.356421232,0.069066167,32
2023/06/14 7:00,0.267773092,0.299410492,0.432955444,1.154029012,0.129136577,33
2023/06/14 8:00,0.488298833,0.559178293,0.717061043,1.121912479,0.432042569,34
2023/06/14 9:00,0.818059385,0.960379899,1.17990768,1.331250429,0.893077254,35
2023/06/14 10:00,1.337174535,1.600002766,1.846605062,1.785807133,1.576351404,36
2023/06/14 11:00,1.921520829,2.264091969,2.478466988,2.327609301,2.241701603,37
2023/06/14 12:00,2.25661397,2.61883688,2.797153473,2.656106949,2.595337629,38
2023/06/14 13:00,2.512662172,2.855485439,3.007421732,2.905351639,2.857691765,39
2023/06/14 14:00,2.747915983,3.0669806,3.149842739,3.118923664,3.100602388,40
2023/06/14 15:00,2.815100908,3.114501953,3.139129639,3.148758173,3.115906239,41
2023/06/14 16:00,2.752731085,3.043379784,3.095974445,3.108613729,3.042312145,42
2023/06/14 17:00,2.500671625,2.814907551,2.876563787,2.948049307,2.767535448,43
2023/06/14 18:00,2.041477203,2.339386702,2.510708809,2.646513462,2.308418274,44
2023/06/14 19:00,1.557589889,1.818586349,2.082782984,2.417216778,1.831183791,45
2023/06/14 20:00,1.198069811,1.478712797,1.773525953,2.283286095,1.457894444,46
2023/06/14 21:00,0.988881886,1.304805994,1.543057561,2.181616783,1.181023836,47
2023/06/14 22:00,0.873874366,1.182754517,1.370111823,2.091707468,0.984083176,48
