datetime,OZONE_COOK_AND_PHILLIP,OZONE_EARLWOOD,OZONE_LIDCOMBE,OZONE_MACQUARIE_PARK,OZONE_RANDWICK,OZONE_ROZELLE,forecast_hours
2023-09-08 21:00:00+10:00,1.6485,1.6972,1.85075,2.59265,2.122625,2.411575,-71.0
2023-09-08 22:00:00+10:00,1.6988,1.3765,1.60865,2.55905,2.083425,2.476175,-70.0
2023-09-08 23:00:00+10:00,1.6962,0.5443,1.43515,2.57595,1.597925,2.446575,-69.0
2023-09-09 00:00:00+10:00,1.878,1.17,1.29215,2.51425,1.440325,2.405575,-68.0
2023-09-09 02:00:00+10:00,1.7389,1.7837,1.8213527363725592,2.39775,2.01805,2.264025,-67.0
2023-09-09 03:00:00+10:00,1.5162,2.3382,2.139275,2.33615,2.49045,1.886225,-66.0
2023-09-09 04:00:00+10:00,1.4748,2.405,2.131075,1.73375,2.51385,1.893425,-65.0
2023-09-09 05:00:00+10:00,1.5503,1.9087,1.853175,1.88335,2.40265,1.925925,-64.0
2023-09-09 06:00:00+10:00,1.1847,1.7193,1.267875,1.06875,1.97825,1.787025,-63.0
2023-09-09 07:00:00+10:00,1.41,2.0323,1.507475,1.28415,2.08245,1.698425,-62.0
2023-09-09 08:00:00+10:00,1.7462,2.6723,2.519875,2.33825,2.62385,2.487825,-61.0
2023-09-09 09:00:00+10:00,1.9512,2.7678,2.686275,2.44645,2.77125,2.670325,-60.0
2023-09-09 10:00:00+10:00,2.0282,2.894,2.816475,2.71745,2.85225,2.807925,-59.0
2023-09-09 11:00:00+10:00,2.2218,3.0065,2.976975,2.94585,3.01755,2.964725,-58.0
2023-09-09 12:00:00+10:00,2.6005,3.1602,3.051575,3.04705,3.10695,3.135225,-57.0
2023-09-09 13:00:00+10:00,2.7115,3.1405,3.120875,3.14725,3.31135,3.179525,-56.0
2023-09-09 14:00:00+10:00,2.8118,3.2372,3.115775,3.13995,3.36405,3.219025,-55.0
2023-09-09 15:00:00+10:00,2.8115,3.185,3.221875,3.22745,3.34135,3.306125,-54.0
2023-09-09 16:00:00+10:00,2.6918,3.08,3.025575,3.18245,3.23925,3.215825,-53.0
2023-09-09 17:00:00+10:00,2.2957,2.775,2.830975,2.97195,3.08865,2.949625,-52.0
2023-09-09 18:00:00+10:00,1.9122,1.584,1.457475,2.17255,2.88585,2.231525,-51.0
2023-09-09 19:00:00+10:00,1.1832,1.2175,1.031475,1.45415,1.98905,1.320325,-50.0
2023-09-09 20:00:00+10:00,1.312,1.8907,1.496975,1.23955,2.17055,1.993525,-49.0
2023-09-09 21:00:00+10:00,1.2415,1.9047,1.132775,2.24395,2.03575,2.136925,-48.0
2023-09-09 22:00:00+10:00,1.0958,1.3865,2.235675,2.14455,0.87775,1.909925,-47.0
2023-09-09 23:00:00+10:00,1.1202,1.6685,2.279975,1.78325,1.46435,2.016725,-46.0
2023-09-10 00:00:00+10:00,1.2965,1.7113,2.112575,1.42715,1.97425,1.972025,-45.0
2023-09-10 02:00:00+10:00,1.313,1.5542,1.224475,0.80155,1.7463,1.855275,-44.0
2023-09-10 03:00:00+10:00,1.4442,1.7602,1.253675,0.698675,1.8733,1.795275,-43.0
2023-09-10 04:00:00+10:00,1.3863,1.644,1.307075,0.665575,1.883,1.635375,-42.0
2023-09-10 05:00:00+10:00,1.2643,1.685,1.205375,0.567175,1.7862,1.529175,-41.0
2023-09-10 06:00:00+10:00,1.1547,1.496,0.948575,0.547075,1.6073,1.207775,-40.0
2023-09-10 07:00:00+10:00,1.1627,1.7337,1.388175,1.251275,1.631,1.434175,-39.0
2023-09-10 08:00:00+10:00,1.3607,1.9953,2.030875,2.178175,1.8438,1.887775,-38.0
2023-09-10 09:00:00+10:00,1.7017,2.1387,2.208975,2.323275,2.0417,2.253775,-37.0
2023-09-10 10:00:00+10:00,2.0005,2.5765,2.667075,2.565575,2.2954,2.528575,-36.0
2023-09-10 11:00:00+10:00,2.3235,2.8853,2.914275,2.847975,2.6745,2.777875,-35.0
