datetime,OZONE_COOK_AND_PHILLIP,OZONE_EARLWOOD,OZONE_LIDCOMBE,OZONE_MACQUARIE_PARK,OZONE_RANDWICK,OZONE_ROZELLE,forecast_hours
2023-09-09 22:00:00+10:00,1.0958,1.3865,2.235675,2.14455,0.87775,1.909925,-47.0
2023-09-09 23:00:00+10:00,1.1202,1.6685,2.279975,1.78325,1.46435,2.016725,-46.0
2023-09-10 00:00:00+10:00,1.2965,1.7113,2.112575,1.42715,1.97425,1.972025,-45.0
2023-09-10 02:00:00+10:00,1.313,1.5542,1.224475,0.80155,1.7463,1.855275,-44.0
2023-09-10 03:00:00+10:00,1.4442,1.7602,1.253675,0.698675,1.8733,1.795275,-43.0
2023-09-10 04:00:00+10:00,1.3863,1.644,1.307075,0.665575,1.883,1.635375,-42.0
2023-09-10 05:00:00+10:00,1.2643,1.685,1.205375,0.567175,1.7862,1.529175,-41.0
2023-09-10 06:00:00+10:00,1.1547,1.496,0.948575,0.547075,1.6073,1.207775,-40.0
2023-09-10 07:00:00+10:00,1.1627,1.7337,1.388175,1.251275,1.631,1.434175,-39.0
2023-09-10 08:00:00+10:00,1.3607,1.9953,2.030875,2.178175,1.8438,1.887775,-38.0
2023-09-10 09:00:00+10:00,1.7017,2.1387,2.208975,2.323275,2.0417,2.253775,-37.0
2023-09-10 10:00:00+10:00,2.0005,2.5765,2.667075,2.565575,2.2954,2.528575,-36.0
2023-09-10 11:00:00+10:00,2.3235,2.8853,2.914275,2.847975,2.6745,2.777875,-35.0
2023-09-10 12:00:00+10:00,2.6093,3.1637,3.112775,3.109375,2.704,3.043975,-34.0
2023-09-10 13:00:00+10:00,2.505,3.612,3.393975,3.293075,3.2209,3.289775,-33.0
2023-09-10 14:00:00+10:00,2.6353,3.2,3.559375,3.425975,3.3828,3.219975,-32.0
2023-09-10 15:00:00+10:00,2.6492,3.2287,3.304375,3.433775,3.4528,3.265875,-31.0
2023-09-10 16:00:00+10:00,2.5982,3.3193,3.247175,3.357075,3.4259,3.240575,-30.0
2023-09-10 17:00:00+10:00,2.3862,2.9782,3.040675,3.234375,3.3205,2.905275,-29.0
2023-09-10 18:00:00+10:00,2.3385,2.3557,2.663575,2.543875,3.142,2.573075,-28.0
2023-09-10 19:00:00+10:00,1.8097,0.7188,1.654475,1.678075,3.1107,2.153575,-27.0
2023-09-10 20:00:00+10:00,1.4035,0.0783,0.383575,1.118875,2.8215,1.681475,-26.0
2023-09-10 21:00:00+10:00,0.7417,0.0237,0.218075,0.706975,1.3927,0.894275,-25.0
2023-09-10 22:00:00+10:00,-0.146,0.0158,0.450575,0.423175,0.1186,0.057675,-24.0
2023-09-10 23:00:00+10:00,-0.1895,0.0298,0.166175,0.410175,0.0332,0.155775,-23.0
2023-09-11 00:00:00+10:00,-0.0767,0.1018,0.170375,0.183175,0.0353,0.327575,-22.0
2023-09-11 02:00:00+10:00,0.2328,0.3516,0.091925,0.13155,0.234775,0.110275,-21.0
2023-09-11 03:00:00+10:00,0.2283,0.122,0.037425,0.08655,0.215875,0.006675,-20.0
2023-09-11 04:00:00+10:00,0.1528,0.0663,0.054325,0.10495,0.230275,0.038775,-19.0
2023-09-11 05:00:00+10:00,0.1997,0.0532,0.103425,0.11375,0.159475,0.322075,-18.0
2023-09-11 06:00:00+10:00,0.2627,0.092,0.106325,0.15135,0.104175,0.332975,-17.0
2023-09-11 07:00:00+10:00,0.4773,0.3748,0.339925,0.49165,0.378875,0.460675,-16.0
2023-09-11 08:00:00+10:00,0.4998,0.9827,0.691425,1.02595,0.818475,0.550775,-15.0
2023-09-11 09:00:00+10:00,0.7445,1.2085,1.221525,1.63595,1.182575,1.179675,-14.0
2023-09-11 10:00:00+10:00,1.5928,2.3252,2.292425,2.06815,2.589575,2.048275,-13.0
2023-09-11 11:00:00+10:00,2.3818,3.0687,2.7737057718930997,2.73805,3.309075,2.625875,-12.0
2023-09-11 12:00:00+10:00,3.0657,3.6702,3.3756786130299963,2.97145,3.730975,3.029075,-11.0
2023-09-11 13:00:00+10:00,3.2277,3.5187,3.3720199047906387,3.20095,3.528575,3.354975,-10.0
2023-09-11 14:00:00+10:00,2.9063,3.089,3.214301963608407,3.45165,3.233075,3.329475,-9.0
2023-09-11 15:00:00+10:00,2.5588,2.8737,3.0708907163350405,3.35625,3.091575,3.125262239380178,-8.0
2023-09-11 16:00:00+10:00,2.3748,2.7142,2.7755350893274446,3.18805,2.997175,2.748875,-7.0
2023-09-11 17:00:00+10:00,2.1835,2.184,2.001925,2.95735,2.921075,2.754275,-6.0
2023-09-11 18:00:00+10:00,1.8562,2.0122,1.384825,2.01655,2.777375,1.867975,-5.0
2023-09-11 19:00:00+10:00,1.404,0.774,0.279025,1.21645,2.490175,0.726675,-4.0
2023-09-11 20:00:00+10:00,0.9648,0.0388,0.048225,0.63105,2.105175,0.493675,-3.0
2023-09-11 21:00:00+10:00,1.1588,0.0497,0.092225,0.34395,1.536375,0.491375,-2.0
2023-09-11 22:00:00+10:00,0.4498,0.0518,0.478125,0.32675,0.729875,0.095575,-1.0
2023-09-11 23:00:00+10:00,0.1112,0.2505,1.147125,0.18055,0.162675,0.138575,0.0
2023-09-12 00:00:00+10:00,0.6422696113586426,0.6259704232215881,0.5935893654823303,0.7988749742507935,1.1690524816513062,0.954880952835083,1.0
2023-09-12 01:00:00+10:00,0.5818924903869629,0.5291662812232971,0.496811181306839,0.7180330753326416,1.0136101245880127,0.8323400020599365,2.0
2023-09-12 02:00:00+10:00,0.5758441686630249,0.5168547034263611,0.4842054843902588,0.7054062485694885,0.9788339734077454,0.8089622259140015,3.0
2023-09-12 03:00:00+10:00,0.5506533980369568,0.4823694825172424,0.4500129818916321,0.6738088726997375,0.9427611231803894,0.7715170383453369,4.0
2023-09-12 04:00:00+10:00,0.5431557297706604,0.4750530123710632,0.4428266286849975,0.6679801344871521,0.9318379163742064,0.7601280212402344,5.0
2023-09-12 05:00:00+10:00,0.5437168478965759,0.4789825677871704,0.4463037848472595,0.6727679371833801,0.9330992698669434,0.7614821791648865,6.0
2023-09-12 06:00:00+10:00,0.5472557544708252,0.4864827394485473,0.453372597694397,0.6808145642280579,0.9388208985328674,0.7674068212509155,7.0
2023-09-12 07:00:00+10:00,0.5463944673538208,0.4908804893493652,0.4585272073745727,0.6871494650840759,0.940632939338684,0.7680234313011169,8.0
2023-09-12 08:00:00+10:00,0.5274845361709595,0.4721806645393371,0.4419360160827636,0.6701628565788269,0.9165785908699036,0.7396336197853088,9.0
2023-09-12 09:00:00+10:00,0.5153768658638,0.4517978429794311,0.4208885133266449,0.6467429995536804,0.8987856507301331,0.7184096574783325,10.0
2023-09-12 10:00:00+10:00,0.4999311566352844,0.4286879301071167,0.3976545035839081,0.6216856837272644,0.8793725967407227,0.6943544745445251,11.0
2023-09-12 11:00:00+10:00,0.4902476072311401,0.4124555587768554,0.3809351921081543,0.6033823490142822,0.8674595355987549,0.6793419718742371,12.0
2023-09-12 12:00:00+10:00,0.484304130077362,0.4020481705665588,0.3700628876686096,0.5916658639907837,0.8608690500259399,0.6709376573562622,13.0
2023-09-12 13:00:00+10:00,0.4818319380283355,0.4013575315475464,0.3698157966136932,0.5912913084030151,0.860261082649231,0.669401228427887,14.0
2023-09-12 14:00:00+10:00,0.4860752820968628,0.4303381741046905,0.4014797210693359,0.6243300437927246,0.8780707120895386,0.6843670010566711,15.0
2023-09-12 15:00:00+10:00,0.5208674073219299,0.5369712710380554,0.5148841142654419,0.7378338575363159,0.9522439241409302,0.7513737678527832,16.0
2023-09-12 16:00:00+10:00,0.6345635056495667,0.7440913319587708,0.730353057384491,0.942840576171875,1.110720992088318,0.9128533005714417,17.0
2023-09-12 17:00:00+10:00,0.802647590637207,1.02350652217865,1.022775411605835,1.2162632942199707,1.3245221376419067,1.1416480541229248,18.0
2023-09-12 18:00:00+10:00,0.9570602178573608,1.28148353099823,1.2935683727264404,1.4708731174468994,1.5319526195526123,1.364439606666565,19.0
2023-09-12 19:00:00+10:00,1.0747201442718506,1.4860559701919556,1.5077502727508545,1.6757960319519043,1.7072941064834597,1.5478219985961914,20.0
