datetime,OZONE_BARGO,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,OZONE_OAKDALE,forecast_hours
2023-09-09 22:00:00+10:00,2.5252,1.544,1.882667,0.0732,2.2462,2.5563,-47.0
2023-09-09 23:00:00+10:00,1.9615,1.1845,1.339367,0.4175,2.1578,2.5107,-46.0
2023-09-10 00:00:00+10:00,2.3022,0.933,1.348667,0.8445,1.9648,2.48,-45.0
2023-09-10 02:00:00+10:00,2.2585,0.7938,0.907643,1.3424,1.8801,2.2789,-44.0
2023-09-10 03:00:00+10:00,2.181,0.5733,0.750143,1.8173,1.1437,2.2092,-43.0
2023-09-10 04:00:00+10:00,2.2108,0.4448,0.630343,1.7832,0.8305,2.1772,-42.0
2023-09-10 05:00:00+10:00,2.0237,0.3258,0.509843,1.75,0.4385,2.1332,-41.0
2023-09-10 06:00:00+10:00,1.7723,0.3153,0.467743,1.0757,0.4392,2.0983,-40.0
2023-09-10 07:00:00+10:00,2.1937,0.841,0.828043,1.6507,1.1258,2.0833,-39.0
2023-09-10 08:00:00+10:00,2.5422,1.8182,1.756543,2.0998,2.127,2.2273,-38.0
2023-09-10 09:00:00+10:00,2.8472,2.5628,2.169743,2.1933,2.4013,2.3473,-37.0
2023-09-10 10:00:00+10:00,2.8227,2.7877,2.697043,2.6583,2.7608,2.5423,-36.0
2023-09-10 11:00:00+10:00,2.8763,2.929,2.987943,2.887,2.9898,2.7028,-35.0
2023-09-10 12:00:00+10:00,2.8933,3.054,3.032743,2.9873,3.1997,2.7855,-34.0
2023-09-10 13:00:00+10:00,2.9583,3.08,3.047843,3.0473,3.2762,2.6572,-33.0
2023-09-10 14:00:00+10:00,3.0113,3.1423,3.070443,3.0428,3.337,2.5747,-32.0
2023-09-10 15:00:00+10:00,3.1243,3.2018,3.051443,3.3105,3.3412,2.7285,-31.0
2023-09-10 16:00:00+10:00,3.2285,3.3303,3.746643,3.3517,3.1102,2.7923,-30.0
2023-09-10 17:00:00+10:00,3.013,3.0748,3.434043,3.0362,2.8215,3.062,-29.0
2023-09-10 18:00:00+10:00,2.8007,2.9178,2.981143,2.435,1.974,2.9427,-28.0
2023-09-10 19:00:00+10:00,1.086,2.3415,2.515543,1.503,0.486,2.7498,-27.0
2023-09-10 20:00:00+10:00,0.1215,1.7415,2.033043,0.1198,0.2487,2.66,-26.0
2023-09-10 21:00:00+10:00,0.0567,0.7875,1.599543,0.4327,0.4225,2.797,-25.0
2023-09-10 22:00:00+10:00,0.3363,0.5097,1.142943,0.2795,0.4968,2.8108,-24.0
2023-09-10 23:00:00+10:00,0.4893,0.3877,0.831043,0.7267,0.0808,2.6578,-23.0
2023-09-11 00:00:00+10:00,0.9902,0.3668,0.966943,0.807,0.0678,1.8833,-22.0
2023-09-11 02:00:00+10:00,0.7139,0.3503,0.573383,0.6282,0.0587,2.0247,-21.0
2023-09-11 03:00:00+10:00,0.4237,0.284,0.388683,0.6035,0.0813,1.991,-20.0
2023-09-11 04:00:00+10:00,1.0248,0.2442,0.129283,0.1128,0.179,1.8458,-19.0
2023-09-11 05:00:00+10:00,0.321,0.1552,0.127783,0.0577,0.0848,1.6883,-18.0
2023-09-11 06:00:00+10:00,0.594,0.2277,0.119483,0.1033,0.1358,1.7597,-17.0
2023-09-11 07:00:00+10:00,0.9782,0.5378,0.235883,0.5595,0.479,1.69,-16.0
2023-09-11 08:00:00+10:00,1.7033,1.114,0.890683,1.408,1.2592,1.9402,-15.0
2023-09-11 09:00:00+10:00,2.7268,1.8112,1.673283,1.4185,1.7228,2.189,-14.0
2023-09-11 10:00:00+10:00,2.909,2.5417,2.712283,2.5042,2.1712,2.5603,-13.0
2023-09-11 11:00:00+10:00,3.0683,3.1095,3.149483,3.014,2.6262,2.6652,-12.0
2023-09-11 12:00:00+10:00,3.3187,3.2965,3.391283,3.1302,2.903,2.761,-11.0
2023-09-11 13:00:00+10:00,3.5605,3.369,3.562383,3.6592,3.264,2.8615,-10.0
2023-09-11 14:00:00+10:00,3.5678,3.3748,3.711083,4.7717,3.5023,3.0397,-9.0
2023-09-11 15:00:00+10:00,3.3077,3.3808,5.090783,3.8848,3.4088,3.2127,-8.0
2023-09-11 16:00:00+10:00,2.9003,3.454,3.631483,2.759,3.4348,3.4228,-7.0
2023-09-11 17:00:00+10:00,2.2888,3.233,2.805583,2.656,2.9252,3.1993,-6.0
2023-09-11 18:00:00+10:00,1.3652,2.6435,2.464383,2.1897,1.1765,2.6935,-5.0
2023-09-11 19:00:00+10:00,1.1492,1.9082,2.049383,0.6613,0.3717,2.4773,-4.0
2023-09-11 20:00:00+10:00,0.1888,1.0592,1.551983,0.021,0.2575,2.3963,-3.0
2023-09-11 21:00:00+10:00,0.1275,0.3823,1.577583,0.0257,0.366,2.3708,-2.0
2023-09-11 22:00:00+10:00,0.12,0.1763,1.178683,0.033,0.0647,2.2877,-1.0
2023-09-11 23:00:00+10:00,0.4773,0.2435,0.785583,0.0223,0.0693,2.416,0.0
2023-09-12 00:00:00+10:00,1.4216666221618652,0.821635365486145,0.9938514232635498,0.7439451813697815,0.6627817749977112,2.0149550437927246,1.0
2023-09-12 01:00:00+10:00,1.2189534902572632,0.591352641582489,0.7749115228652954,0.5381380915641785,0.4717332720756531,1.9681763648986816,2.0
2023-09-12 02:00:00+10:00,1.134097456932068,0.4418437480926513,0.6526865363121033,0.3938422799110412,0.3215023875236511,1.955659866333008,3.0
2023-09-12 03:00:00+10:00,1.0820517539978027,0.347330778837204,0.5921385288238525,0.3082201182842254,0.2285148799419403,1.984044313430786,4.0
2023-09-12 04:00:00+10:00,1.0206058025360107,0.2604934275150299,0.5359881520271301,0.2302035093307495,0.1467558741569519,1.963649034500122,5.0
2023-09-12 05:00:00+10:00,0.9953678846359252,0.2420216798782348,0.5331518054008484,0.2170843780040741,0.1341829299926757,1.9353073835372925,6.0
2023-09-12 06:00:00+10:00,1.001657009124756,0.2644883990287781,0.5621451139450073,0.242230087518692,0.1612399518489837,1.9278472661972048,7.0
2023-09-12 07:00:00+10:00,0.980107307434082,0.2366986870765686,0.540411651134491,0.2160658836364746,0.1345673501491546,1.9129204750061035,8.0
2023-09-12 08:00:00+10:00,0.9080526828765868,0.075942575931549,0.3539320528507232,0.0601413249969482,0.0,1.8353216648101809,9.0
2023-09-12 09:00:00+10:00,0.9420671463012696,0.1238117218017578,0.3294343650341034,0.110574871301651,0.0189359188079834,1.7873423099517822,10.0
2023-09-12 10:00:00+10:00,0.9291610717773438,0.158543974161148,0.340048611164093,0.145038217306137,0.0553408563137054,1.718353271484375,11.0
2023-09-12 11:00:00+10:00,1.004449725151062,0.3060276210308075,0.4539576172828674,0.2779296636581421,0.1958231627941131,1.7263697385787964,12.0
2023-09-12 12:00:00+10:00,1.144536375999451,0.5094448328018188,0.628333568572998,0.4633083343505859,0.3958485722541809,1.8001658916473389,13.0
2023-09-12 13:00:00+10:00,1.2677719593048096,0.6828600168228149,0.7874730825424194,0.6293836832046509,0.5736538171768188,1.8664155006408687,14.0
2023-09-12 14:00:00+10:00,1.398966908454895,0.8729655742645264,0.9618664979934692,0.8124820590019226,0.7645070552825928,1.9463987350463867,15.0
2023-09-12 15:00:00+10:00,1.5648502111434937,1.1201759576797483,1.1790865659713743,1.050895094871521,1.005726337432861,2.0466725826263428,16.0
2023-09-12 16:00:00+10:00,1.7908848524093628,1.4437110424041748,1.451581358909607,1.3659627437591553,1.3126463890075684,2.17649245262146,17.0
2023-09-12 17:00:00+10:00,2.0692832469940186,1.836588740348816,1.7773574590682983,1.7513980865478516,1.6835784912109375,2.3358449935913086,18.0
2023-09-12 18:00:00+10:00,2.347055673599243,2.2265639305114746,2.1060099601745605,2.1332123279571533,2.0501933097839355,2.51119327545166,19.0
2023-09-12 19:00:00+10:00,2.5557632446289062,2.500000476837158,2.345247745513916,2.400446891784668,2.2996387481689453,2.665651321411133,20.0
2023-09-12 20:00:00+10:00,2.6378061771392822,2.601261854171753,2.449637651443481,2.497738838195801,2.3834874629974365,2.750232219696045,21.0
2023-09-12 21:00:00+10:00,2.642935514450073,2.605797290802002,2.4762487411499023,2.49906849861145,2.3781421184539795,2.787153720855713,22.0
2023-09-12 22:00:00+10:00,2.605295896530152,2.5456814765930176,2.440760374069214,2.43932580947876,2.316779136657715,2.78165340423584,23.0
2023-09-12 23:00:00+10:00,2.4953112602233887,2.3811373710632324,2.3230764865875244,2.2767858505249023,2.156838893890381,2.7341842651367188,24.0
2023-09-13 00:00:00+10:00,2.272801160812378,2.050991535186768,2.0809171199798584,1.9523388147354128,1.8420002460479736,2.642250061035156,25.0
2023-09-13 01:00:00+10:00,1.9259605407714844,1.4925405979156494,1.6504521369934082,1.4097702503204346,1.3151005506515503,2.5260467529296875,26.0
2023-09-13 02:00:00+10:00,1.630486249923706,0.9566299319267272,1.2100576162338257,0.8958127498626709,0.8152357935905457,2.448396682739258,27.0
2023-09-13 03:00:00+10:00,1.5117343664169312,0.7941830158233643,1.0414834022521973,0.7439464926719666,0.6654647588729858,2.3538520336151123,28.0
2023-09-13 04:00:00+10:00,1.450218915939331,0.7345912456512451,0.9740533828735352,0.6874634623527527,0.6080741882324219,2.286050081253052,29.0
2023-09-13 05:00:00+10:00,1.4001078605651855,0.6614294648170471,0.9098487496376038,0.6105653643608093,0.5286933779716492,2.256741762161255,30.0
2023-09-13 06:00:00+10:00,1.3900758028030396,0.624334990978241,0.8738316297531128,0.5732119083404541,0.4886340796947479,2.245434045791626,31.0
2023-09-13 07:00:00+10:00,1.2808945178985596,0.4737309217453003,0.7176939845085144,0.4373226761817932,0.3516132235527038,2.125930070877075,32.0
2023-09-13 08:00:00+10:00,1.1604260206222534,0.3977115154266357,0.6079040765762329,0.3776611089706421,0.2911943197250366,1.9229390621185305,33.0
2023-09-13 09:00:00+10:00,1.0864322185516355,0.3538220524787903,0.5646302700042725,0.332392007112503,0.2458739876747131,1.8389897346496584,34.0
2023-09-13 10:00:00+10:00,1.1176403760910034,0.4527243673801422,0.6444774866104126,0.4215937256813049,0.34200519323349,1.826075792312622,35.0
2023-09-13 11:00:00+10:00,1.2477904558181765,0.6535120606422424,0.8097350597381592,0.6109159588813782,0.5426841378211975,1.881313800811768,36.0
2023-09-13 12:00:00+10:00,1.4222698211669922,0.9010668992996216,1.0114150047302246,0.8441389799118042,0.7848780155181885,1.97802996635437,37.0
2023-09-13 13:00:00+10:00,1.5949363708496094,1.1483395099639893,1.2176108360290527,1.080044507980347,1.027087926864624,2.082505464553833,38.0
2023-09-13 14:00:00+10:00,1.769831657409668,1.3998552560806274,1.428796648979187,1.3230209350585938,1.2678308486938477,2.186539888381958,39.0
2023-09-13 15:00:00+10:00,2.004913568496704,1.7312054634094238,1.7012284994125366,1.6462785005569458,1.577512502670288,2.3204362392425537,40.0
2023-09-13 16:00:00+10:00,2.3197555541992188,2.1596834659576416,2.05936861038208,2.0663838386535645,1.9765686988830569,2.5151374340057373,41.0
2023-09-13 17:00:00+10:00,2.6102747917175293,2.5352745056152344,2.381246328353882,2.4348256587982178,2.319282054901123,2.716348171234131,42.0
2023-09-13 18:00:00+10:00,2.744104623794556,2.7072925567626958,2.5357255935668945,2.602693557739258,2.4703757762908936,2.8232593536376958,43.0
2023-09-13 19:00:00+10:00,2.7725815773010254,2.7459380626678467,2.584314346313477,2.6381564140319824,2.4985015392303467,2.867225170135498,44.0
2023-09-13 20:00:00+10:00,2.762155532836914,2.737404584884644,2.5950660705566406,2.62637710571289,2.484347105026245,2.886807680130005,45.0
2023-09-13 21:00:00+10:00,2.707057237625122,2.6679842472076416,2.549811601638794,2.5556788444519043,2.4155197143554688,2.869711875915528,46.0
2023-09-13 22:00:00+10:00,2.554833173751831,2.470017433166504,2.403242588043213,2.357743978500366,2.224816083908081,2.7940943241119385,47.0
2023-09-13 23:00:00+10:00,2.246196985244751,2.056757688522339,2.080357074737549,1.949517011642456,1.8312194347381592,2.6204380989074707,48.0

STATISTICS,MAE,RMSE,PEARSON_R,R_SQUARE,MEAN_FC,MEAN_OBS,STD_FC,STD_OBS,MBE
BARGO,0.7671015625,0.875328125,0.796640625,-0.9150859375,1.663453125,1.663453125,1.27054296875,0.650296875,0.7671015625
BRINGELLY,0.496765625,0.6166562499999999,0.8900000000000001,0.50246484375,1.462875,1.462875,1.21781640625,0.917609375,0.496765625
CAMDEN,0.59355859375,0.69802734375,0.78629296875,0.13163671875,0.8793320312499999,0.8793320312499999,0.76671484375,0.7659101562500001,0.59355859375
CAMPBELLTOWN_WEST,0.50071484375,0.61744140625,0.8606015625,0.4776328125,1.2254921875,1.2254921875,1.1716406249999998,0.894015625,0.50071484375
LIVERPOOL,0.47632421875,0.59248046875,0.8775351562500001,0.49764453125,1.18005859375,1.18005859375,1.1597734375000002,0.8659296875,0.47632421875
OAKDALE,0.34656640625,0.4101328125,0.67812109375,-0.8669921875000001,2.37598046875,2.37598046875,0.49005859375,0.3099296874999999,0.34656640625
