datetime,OZONE_COOK_AND_PHILLIP,OZONE_EARLWOOD,OZONE_LIDCOMBE,OZONE_MACQUARIE_PARK,OZONE_RANDWICK,OZONE_ROZELLE,forecast_hours
2023-06-14 21:00:00+10:00,0.990085423,1.444885731,1.499246836,1.804713607,1.821823835,1.935826302,5
2023-06-14 22:00:00+10:00,1.005556822,1.460516095,1.496588111,1.813248754,1.819967508,1.945609093,6
2023-06-14 23:00:00+10:00,1.030833364,1.452000022,1.484176874,1.781505108,1.828110695,1.939987779,7
2023-06-15 00:00:00+10:00,1.102200866,1.450542808,1.465409398,1.755755424,1.850213408,1.92772615,8
2023-06-15 01:00:00+10:00,1.160787463,1.421812177,1.367271662,1.677902102,1.822187543,1.853333235,9
2023-06-15 02:00:00+10:00,1.201946735,1.377705336,1.282185078,1.587816477,1.756638169,1.832232952,10
2023-06-15 03:00:00+10:00,1.229488254,1.364842415,1.298093915,1.585295439,1.726150036,1.85669899,11
2023-06-15 04:00:00+10:00,1.186287999,1.319635034,1.302929401,1.575042367,1.702702522,1.82029748,12
2023-06-15 05:00:00+10:00,1.049936175,1.192382455,1.193805933,1.469744205,1.604802608,1.694065809,13
2023-06-15 06:00:00+10:00,0.813629687,0.953594983,1.002493978,1.294993877,1.37440908,1.520809412,14
2023-06-15 07:00:00+10:00,0.678487778,0.849818528,0.905551195,1.236406326,1.295042276,1.417284966,15
2023-06-15 08:00:00+10:00,0.743718803,1.063544393,1.080481768,1.382493973,1.416852951,1.498681068,16
2023-06-15 09:00:00+10:00,0.930479169,1.406107306,1.393386364,1.627993941,1.629416943,1.693766117,17
2023-06-15 10:00:00+10:00,1.250573874,1.819184184,1.818277121,2.015900135,1.95040226,2.04099822,18
2023-06-15 11:00:00+10:00,1.580545783,2.240164995,2.268756866,2.411341667,2.276695013,2.392932892,19
2023-06-15 12:00:00+10:00,1.852648139,2.569113255,2.620908737,2.714545965,2.586564779,2.692480326,20
2023-06-15 13:00:00+10:00,2.023828983,2.764183283,2.827688694,2.910442829,2.796979189,2.899513006,21
2023-06-15 14:00:00+10:00,2.101959705,2.851033926,2.922724962,3.026721478,2.894054651,3.018149137,22
2023-06-15 15:00:00+10:00,2.080538273,2.852951288,2.928528309,3.029061794,2.93256712,3.044117689,23
2023-06-15 16:00:00+10:00,1.915972114,2.70407939,2.766365051,2.87782836,2.850373983,2.939838886,24
2023-06-15 17:00:00+10:00,1.674308419,2.458635569,2.502615213,2.633088827,2.676275015,2.743250608,25
2023-06-15 18:00:00+10:00,1.416521907,2.148423195,2.163594961,2.31794405,2.446750879,2.4823246,26
2023-06-15 19:00:00+10:00,1.208901167,1.83589685,1.835626125,1.986880779,2.213313818,2.242702961,27
2023-06-15 20:00:00+10:00,1.103378892,1.599047065,1.599426746,1.712814093,2.021430016,2.081045389,28
2023-06-15 21:00:00+10:00,1.086386085,1.450065613,1.457730174,1.52710247,1.901889086,1.996163607,29
2023-06-15 22:00:00+10:00,1.113714218,1.361140966,1.387328625,1.426194787,1.845162034,1.962537527,30
2023-06-15 23:00:00+10:00,1.145094037,1.295724392,1.354465842,1.380159378,1.806770325,1.940514207,31
2023-06-16 00:00:00+10:00,1.163353801,1.240543723,1.330608606,1.364090443,1.770444155,1.916308522,32
2023-06-16 01:00:00+10:00,1.160807014,1.175819397,1.262989998,1.33914113,1.700052261,1.872870207,33
2023-06-16 02:00:00+10:00,1.111557961,1.06222403,1.121423125,1.258182645,1.567821264,1.780669212,34
2023-06-16 03:00:00+10:00,1.030332327,0.963345706,1.017073989,1.200644016,1.456751704,1.690514445,35
2023-06-16 04:00:00+10:00,0.919528186,0.889113903,0.939840317,1.16825068,1.344295979,1.5987854,36
2023-06-16 05:00:00+10:00,0.769398034,0.796072423,0.836063623,1.100746512,1.194699049,1.460652232,37
2023-06-16 06:00:00+10:00,0.646975815,0.709614098,0.743772149,1.021148562,1.070024967,1.309612155,38
2023-06-16 07:00:00+10:00,0.638000906,0.749146998,0.778620899,1.075347781,1.086439729,1.283302426,39
2023-06-16 08:00:00+10:00,0.745014608,0.950358808,0.97548306,1.290576339,1.264788032,1.410258889,40
2023-06-16 09:00:00+10:00,0.980282009,1.322685838,1.346270561,1.625888944,1.562807202,1.66689086,41
2023-06-16 10:00:00+10:00,1.28565824,1.780733109,1.794705868,2.017179012,1.927212596,2.000227213,42
2023-06-16 11:00:00+10:00,1.568536758,2.176861286,2.231931925,2.426675558,2.249724627,2.370667934,43
2023-06-16 12:00:00+10:00,1.811529279,2.460690022,2.565554142,2.735929012,2.481659174,2.682267666,44
2023-06-16 13:00:00+10:00,1.969395041,2.64333868,2.734534264,2.867948532,2.675067186,2.853278399,45
2023-06-16 14:00:00+10:00,2.03861022,2.73608613,2.808558702,2.925892591,2.797024488,2.937520981,46
2023-06-16 15:00:00+10:00,1.958995461,2.659727573,2.708312511,2.852787971,2.761841536,2.891645193,47
2023-06-16 16:00:00+10:00,1.831980109,2.523629904,2.556513786,2.730601072,2.684241533,2.800653934,48
