datetime,OZONE_ALBION_PARK_SOUTH,OZONE_KEMBLA_GRANGE,OZONE_WOLLONGONG,forecast_hours
2023-10-15 00:00:00+10:00,2.27,2.9707,2.9208,-47.0
2023-10-15 01:00:00+10:00,2.27,2.9707,2.9208,-46.0
2023-10-15 02:00:00+10:00,1.6787,2.6976,2.8963,-45.0
2023-10-15 03:00:00+10:00,1.8685,2.6163,2.8792,-44.0
2023-10-15 04:00:00+10:00,1.7413,2.5863,2.8152,-43.0
2023-10-15 05:00:00+10:00,1.2633,2.5412,2.7197,-42.0
2023-10-15 06:00:00+10:00,1.531,2.2813,2.2178,-41.0
2023-10-15 07:00:00+10:00,2.2867,2.8162,2.8233,-40.0
2023-10-15 08:00:00+10:00,2.9812,3.029,2.8973,-39.0
2023-10-15 09:00:00+10:00,3.1683,3.2002,2.8817,-38.0
2023-10-15 10:00:00+10:00,3.1597,2.6312,3.1507,-37.0
2023-10-15 11:00:00+10:00,3.1912,3.0637,3.4442,-36.0
2023-10-15 12:00:00+10:00,3.3093,3.1962,3.1892,-35.0
2023-10-15 13:00:00+10:00,3.2775,3.1602,3.1643,-34.0
2023-10-15 14:00:00+10:00,3.2947,3.2223,3.166,-33.0
2023-10-15 15:00:00+10:00,3.2405,3.2237,3.0622,-32.0
2023-10-15 16:00:00+10:00,3.2335,3.2325,3.2672,-31.0
2023-10-15 17:00:00+10:00,3.0392,2.9923,3.0837,-30.0
2023-10-15 18:00:00+10:00,2.5063,2.6825,2.7093,-29.0
2023-10-15 19:00:00+10:00,1.7405,1.8663,1.3323,-28.0
2023-10-15 20:00:00+10:00,1.3958,1.5822,0.2425,-27.0
2023-10-15 21:00:00+10:00,0.9302,1.362,1.2562,-26.0
2023-10-15 22:00:00+10:00,0.6685,0.906,2.0625,-25.0
2023-10-15 23:00:00+10:00,0.3253,0.9653,1.3795,-24.0
2023-10-16 00:00:00+10:00,0.3863,0.7767,1.0822,-23.0
2023-10-16 01:00:00+10:00,0.3863,0.7767,1.0822,-22.0
2023-10-16 02:00:00+10:00,0.6378,0.496,1.8922,-21.0
2023-10-16 03:00:00+10:00,0.5912,2.2243,1.6433,-20.0
2023-10-16 04:00:00+10:00,0.6532,2.1642,0.5998,-19.0
2023-10-16 05:00:00+10:00,1.6955,2.3217,0.0432,-18.0
2023-10-16 06:00:00+10:00,1.8852,2.1702,0.836,-17.0
2023-10-16 07:00:00+10:00,1.9022,2.3547,1.41,-16.0
2023-10-16 08:00:00+10:00,2.4057,2.4688,2.2172,-15.0
2023-10-16 09:00:00+10:00,2.5978,2.7082,2.5565,-14.0
2023-10-16 10:00:00+10:00,2.7473,2.9292,2.7015,-13.0
2023-10-16 11:00:00+10:00,2.7635,2.9313,2.802,-12.0
2023-10-16 12:00:00+10:00,2.954,3.0237,2.826,-11.0
2023-10-16 13:00:00+10:00,2.6387,2.8448,2.8058,-10.0
2023-10-16 14:00:00+10:00,3.0368,3.0257,2.6863,-9.0
2023-10-16 15:00:00+10:00,3.1458,3.2905,3.0957,-8.0
2023-10-16 16:00:00+10:00,3.2382,3.2265,2.9267,-7.0
2023-10-16 17:00:00+10:00,3.151,3.1513,2.7653,-6.0
2023-10-16 18:00:00+10:00,2.7653,2.809,2.7262,-5.0
2023-10-16 19:00:00+10:00,2.508,2.6325,2.4917,-4.0
2023-10-16 20:00:00+10:00,2.4605,2.6417,1.8852,-3.0
2023-10-16 21:00:00+10:00,2.809,2.5263,2.2108,-2.0
2023-10-16 22:00:00+10:00,2.878,2.7837,2.697,-1.0
2023-10-16 23:00:00+10:00,2.8877,2.8215,2.6577,0.0
2023-10-17 00:00:00+10:00,2.5574686527252197,2.6720967292785645,2.687192440032959,1.0
2023-10-17 01:00:00+10:00,2.214887857437134,2.3015267848968506,2.403027296066284,2.0
2023-10-17 02:00:00+10:00,1.9757405519485474,1.991972804069519,2.0739006996154785,3.0
2023-10-17 03:00:00+10:00,1.830648422241211,1.7936956882476807,1.8021368980407715,4.0
2023-10-17 04:00:00+10:00,1.798736572265625,1.7482564449310303,1.7298805713653564,5.0
2023-10-17 05:00:00+10:00,1.988426685333252,1.9582608938217163,1.9104167222976685,6.0
2023-10-17 06:00:00+10:00,2.3580539226531982,2.3808767795562744,2.3100783824920654,7.0
2023-10-17 07:00:00+10:00,2.677412986755371,2.751124620437622,2.6726646423339844,8.0
2023-10-17 08:00:00+10:00,2.8655598163604736,2.983193874359131,2.915104627609253,9.0
2023-10-17 09:00:00+10:00,2.941007375717163,3.0798213481903076,3.0277881622314453,10.0
2023-10-17 10:00:00+10:00,2.8481881618499756,2.989535093307495,2.9309165477752686,11.0
2023-10-17 11:00:00+10:00,2.6750361919403076,2.7817556858062744,2.7051267623901367,12.0
2023-10-17 12:00:00+10:00,2.419668674468994,2.4948461055755615,2.409289598464966,13.0
2023-10-17 13:00:00+10:00,2.148049831390381,2.196617841720581,2.116347551345825,14.0
2023-10-17 14:00:00+10:00,2.096721887588501,2.134124994277954,2.0641517639160156,15.0
2023-10-17 15:00:00+10:00,2.12134051322937,2.1616768836975098,2.1097640991210938,16.0
2023-10-17 16:00:00+10:00,2.222534418106079,2.262237071990967,2.224018096923828,17.0
2023-10-17 17:00:00+10:00,2.2761807441711426,2.3249893188476562,2.279250383377075,18.0
2023-10-17 18:00:00+10:00,2.3718161582946777,2.459132194519043,2.366964817047119,19.0
2023-10-17 19:00:00+10:00,2.245908737182617,2.3458313941955566,2.2093093395233154,20.0
2023-10-17 20:00:00+10:00,1.982581377029419,2.0614542961120605,1.9283567667007446,21.0
2023-10-17 21:00:00+10:00,1.6221202611923218,1.698245882987976,1.6268819570541382,22.0
2023-10-17 22:00:00+10:00,1.585852861404419,1.6581312417984009,1.5916889905929565,23.0
2023-10-17 23:00:00+10:00,1.6351608037948608,1.7088617086410522,1.6368300914764404,24.0
2023-10-18 00:00:00+10:00,1.6945964097976685,1.772152304649353,1.7052747011184692,25.0
2023-10-18 01:00:00+10:00,1.7178713083267212,1.7918503284454346,1.7313681840896606,26.0
2023-10-18 02:00:00+10:00,1.7673532962799072,1.8368308544158936,1.7674955129623413,27.0
2023-10-18 03:00:00+10:00,1.754550576210022,1.8191792964935303,1.7702980041503906,28.0
2023-10-18 04:00:00+10:00,1.8060593605041504,1.861486792564392,1.799394130706787,29.0
2023-10-18 05:00:00+10:00,1.803437352180481,1.864712119102478,1.7962573766708374,30.0
2023-10-18 06:00:00+10:00,1.8462109565734863,1.9410550594329834,1.8585764169692993,31.0
2023-10-18 07:00:00+10:00,2.014730453491211,2.1705923080444336,2.0380051136016846,32.0
2023-10-18 08:00:00+10:00,2.281775951385498,2.4626471996307373,2.259558916091919,33.0
2023-10-18 09:00:00+10:00,2.4985427856445312,2.624605417251587,2.4364991188049316,34.0
2023-10-18 10:00:00+10:00,2.624199151992798,2.698279619216919,2.5956480503082275,35.0
2023-10-18 11:00:00+10:00,2.7651166915893555,2.851240396499634,2.791733503341675,36.0
2023-10-18 12:00:00+10:00,2.8869571685791016,2.983928680419922,2.9315381050109863,37.0
2023-10-18 13:00:00+10:00,2.8447604179382324,2.96368670463562,2.9258692264556885,38.0
2023-10-18 14:00:00+10:00,2.8152236938476562,2.9333012104034424,2.9020330905914307,39.0
2023-10-18 15:00:00+10:00,2.7687366008758545,2.9095535278320312,2.8861801624298096,40.0
2023-10-18 16:00:00+10:00,2.718538284301758,2.8802595138549805,2.854301929473877,41.0
2023-10-18 17:00:00+10:00,2.6976048946380615,2.8655242919921875,2.837766170501709,42.0
2023-10-18 18:00:00+10:00,2.6770641803741455,2.854767322540283,2.8344781398773193,43.0
2023-10-18 19:00:00+10:00,2.652639389038086,2.820845127105713,2.787048101425171,44.0
2023-10-18 20:00:00+10:00,2.6897127628326416,2.82852840423584,2.744138240814209,45.0
2023-10-18 21:00:00+10:00,2.720410108566284,2.832859516143799,2.729862928390503,46.0
2023-10-18 22:00:00+10:00,2.705312490463257,2.8003427982330322,2.7225112915039062,47.0
2023-10-18 23:00:00+10:00,2.730865240097046,2.817349672317505,2.7568328380584717,48.0

STATISTICS (BNN),MAE,RMSE,PEARSON_R,R_SQUARE,MEAN_FC,MEAN_OBS,STD_FC,STD_OBS,MBE
ALBION_PARK_SOUTH,0.700384765625,0.866654296875,0.6664414062500001,-0.345279296875,1.826314453125,1.84029296875,1.0228671875,0.7884121093750001,1.532484375
KEMBLA_GRANGE,0.7114042968750001,0.8763027343750001,0.680494140625,-0.21011328125,1.814103515625,1.88789453125,1.010642578125,0.8301406250000001,1.488462890625
WOLLONGONG,0.700888671875,0.856095703125,0.622322265625,-0.446591796875,1.87552734375,1.844712890625,0.959921875,0.738005859375,1.5820859375
