datetime,OZONE_BARGO,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,OZONE_OAKDALE,forecast_hours
2023-10-15 00:00:00+10:00,2.8525,2.883,3.002398,2.2788,2.719,2.7147,-71.0
2023-10-15 01:00:00+10:00,2.8525,2.883,3.002398,2.2788,2.719,2.7147,-70.0
2023-10-15 02:00:00+10:00,2.6342,2.9662,2.643796,2.4806,2.2977,2.5394,-69.0
2023-10-15 03:00:00+10:00,2.5998,2.788,2.434096,2.2265,2.2772,2.522,-68.0
2023-10-15 04:00:00+10:00,2.0122,2.3775,1.827096,2.2248,1.8572,2.4297,-67.0
2023-10-15 05:00:00+10:00,2.1878,1.4303,1.659896,2.2142,1.4743,2.2643,-66.0
2023-10-15 06:00:00+10:00,1.884,1.5043,1.667996,2.19,1.6122,2.2968,-65.0
2023-10-15 07:00:00+10:00,2.5095,2.5173,2.282696,2.5182,2.2508,2.3888,-64.0
2023-10-15 08:00:00+10:00,2.9535,2.971,2.932596,2.6198,2.6963,2.5582,-63.0
2023-10-15 09:00:00+10:00,2.9922,3.1123,3.034396,2.9567,3.0835,2.5222,-62.0
2023-10-15 10:00:00+10:00,2.9527,3.1915,3.165596,3.0437,3.241,2.475,-61.0
2023-10-15 11:00:00+10:00,2.8292,3.282,3.129796,3.1548,3.3092,2.4583,-60.0
2023-10-15 12:00:00+10:00,2.912,3.7327,3.106496,3.0428,3.546,2.5017,-59.0
2023-10-15 13:00:00+10:00,3.1147,4.1433,3.449096,3.1105,4.1883,3.1503,-58.0
2023-10-15 14:00:00+10:00,3.2343,4.1637,4.065796,3.8288,4.1883,3.4753,-57.0
2023-10-15 15:00:00+10:00,3.5007,4.6343,4.458896,4.0197,4.441,3.3552,-56.0
2023-10-15 16:00:00+10:00,3.5415,4.6825,4.428096,3.6225,3.9018,3.508,-55.0
2023-10-15 17:00:00+10:00,3.5503,3.8915,4.136696,3.6677,3.2145,3.4293,-54.0
2023-10-15 18:00:00+10:00,3.5682,3.2895,3.749996,3.586,2.7188,3.452,-53.0
2023-10-15 19:00:00+10:00,3.1103,2.6932,3.557596,2.8908,2.2727,3.3393,-52.0
2023-10-15 20:00:00+10:00,1.8295,2.0515,3.006196,2.2643,2.4335,3.0377,-51.0
2023-10-15 21:00:00+10:00,1.2358,1.5882,2.325396,1.1355,2.0362,2.8657,-50.0
2023-10-15 22:00:00+10:00,0.7012,0.9742,2.177896,0.9213,0.6015,2.7127,-49.0
2023-10-15 23:00:00+10:00,2.4278,0.8205,1.631896,1.2618,0.536,2.588,-48.0
2023-10-16 00:00:00+10:00,1.9843,0.8228,1.475096,0.5372,0.752,2.4742,-47.0
2023-10-16 01:00:00+10:00,1.9843,0.8228,1.475096,0.5372,0.752,2.4742,-46.0
2023-10-16 02:00:00+10:00,1.4356,0.3263,0.702415,0.202,0.7718,2.2852,-45.0
2023-10-16 03:00:00+10:00,0.1407,0.2423,0.982415,-0.005,0.56,2.289,-44.0
2023-10-16 04:00:00+10:00,0.0425,0.1278,0.738615,0.0192,0.0598,2.3575,-43.0
2023-10-16 05:00:00+10:00,0.1672,0.1387,0.443915,-0.003,0.036,2.2968,-42.0
2023-10-16 06:00:00+10:00,1.1063,0.2997,0.352515,0.0582,0.1362,1.9927,-41.0
2023-10-16 07:00:00+10:00,2.5343,1.2832,0.480715,0.4305,0.562,2.1602,-40.0
2023-10-16 08:00:00+10:00,2.5933,2.2305,1.708115,2.1818,1.2228,2.3045,-39.0
2023-10-16 09:00:00+10:00,2.6523,2.853,2.820015,2.6067,2.6435,2.3142,-38.0
2023-10-16 10:00:00+10:00,2.7768,2.8898,2.941515,2.7552,2.839,2.4215,-37.0
2023-10-16 11:00:00+10:00,2.8497,3.0128,3.059915,2.8555,2.8332,2.537,-36.0
2023-10-16 12:00:00+10:00,3.082,3.2213,3.222915,3.3012193890909907,3.0252,2.7203,-35.0
2023-10-16 13:00:00+10:00,2.8175,3.2678,3.161815,2.9673,3.064,2.556,-34.0
2023-10-16 14:00:00+10:00,2.9417,2.7778,2.876415,2.5445,2.654,2.3718,-33.0
2023-10-16 15:00:00+10:00,3.1518,3.0127,3.009415,2.975,2.8488,2.5365,-32.0
2023-10-16 16:00:00+10:00,2.8568,3.157,3.256415,3.0777,2.916,2.877,-31.0
2023-10-16 17:00:00+10:00,2.3885,3.3198,3.288615,2.9267,2.7847,3.1152,-30.0
2023-10-16 18:00:00+10:00,2.7368,3.1417,3.081415,2.8367,2.8362,2.8728,-29.0
2023-10-16 19:00:00+10:00,1.8442,2.7878,2.609615,2.5033,2.424,2.7743,-28.0
2023-10-16 20:00:00+10:00,1.2025,2.4068,2.362115,1.7213,1.8362,2.7357,-27.0
2023-10-16 21:00:00+10:00,2.0705,2.2992,2.296215,1.0023,1.6622,2.6705,-26.0
2023-10-16 22:00:00+10:00,2.4145,2.1928,2.440015,1.0485,1.4163,2.7655,-25.0
2023-10-16 23:00:00+10:00,2.5277,2.4058,2.550015,1.3002,1.4948,2.765,-24.0
2023-10-17 00:00:00+10:00,2.4018,2.5683,2.569015,0.9767,1.6723,2.678,-23.0
2023-10-17 01:00:00+10:00,2.4018,2.5683,2.569015,0.9767,1.6723,2.678,-22.0
2023-10-17 02:00:00+10:00,1.6924,2.5052,2.531036,0.5888,2.0818,2.3256,-21.0
2023-10-17 03:00:00+10:00,1.9995,2.3967,2.362136,0.5817,1.9143,2.4033,-20.0
2023-10-17 04:00:00+10:00,2.1947,2.2705,2.302336,0.9613,1.593,2.3633,-19.0
2023-10-17 05:00:00+10:00,2.2762,2.259,2.277036,1.7837,0.5782,2.2953,-18.0
2023-10-17 06:00:00+10:00,2.3188,2.4015,2.293936,1.2507,1.3103,2.269,-17.0
2023-10-17 07:00:00+10:00,2.0272,2.5295,2.526236,1.9558,1.56,2.3348,-16.0
2023-10-17 08:00:00+10:00,2.162,2.6167,2.533136,2.057,2.242,2.3597,-15.0
2023-10-17 09:00:00+10:00,2.5165,2.62,2.532036,2.1938,2.2368,2.3285,-14.0
2023-10-17 10:00:00+10:00,2.5002,2.686,2.106490245476711,2.276,2.3158,2.3037,-13.0
2023-10-17 11:00:00+10:00,2.6878,2.6992,2.0295056683199286,2.2593,2.405,2.4298,-12.0
2023-10-17 12:00:00+10:00,2.68,2.7843,2.3256200320809004,2.5812,2.5118,2.4075,-11.0
2023-10-17 13:00:00+10:00,2.6235,2.8107,2.383496060672597,2.665,2.4012,2.4463,-10.0
2023-10-17 14:00:00+10:00,2.7252,2.8258,2.3821919964973484,2.6345,2.511,2.4558,-9.0
2023-10-17 15:00:00+10:00,2.7888,2.8148,2.2489220060370663,2.5528,2.39,2.4857,-8.0
2023-10-17 16:00:00+10:00,2.699,2.7575,2.545836,2.5912,2.2075,2.4298,-7.0
2023-10-17 17:00:00+10:00,2.5222,2.7045,2.583936,2.4622,2.3067,2.3505,-6.0
2023-10-17 18:00:00+10:00,2.4322,2.5043,2.393036,2.1975,2.0895,2.2857,-5.0
2023-10-17 19:00:00+10:00,2.0175,2.456,2.298236,2.329,2.05,2.2442,-4.0
2023-10-17 20:00:00+10:00,2.1568,2.472,2.451336,2.262,1.8888,2.2018,-3.0
2023-10-17 21:00:00+10:00,2.0403,2.1953,2.404436,1.9263,2.0232,2.1693,-2.0
2023-10-17 22:00:00+10:00,1.6863,1.8745,2.343436,1.1835,1.8855,2.2022,-1.0
2023-10-17 23:00:00+10:00,1.115,1.4702,2.100236,0.7768,1.3325,2.2077,0.0
2023-10-18 00:00:00+10:00,2.5670905113220215,2.042494773864746,2.1622183322906494,1.9876115322113037,1.821553349494934,2.9483561515808105,1.0
2023-10-18 01:00:00+10:00,2.3582992553710938,1.8466134071350098,1.9790154695510864,1.796460747718811,1.6345549821853638,2.820131301879883,2.0
2023-10-18 02:00:00+10:00,2.1476337909698486,1.608600378036499,1.7803120613098145,1.5583401918411255,1.4061319828033447,2.7353146076202393,3.0
2023-10-18 03:00:00+10:00,1.9873203039169312,1.420248031616211,1.612958312034607,1.372735857963562,1.2312400341033936,2.6548562049865723,4.0
2023-10-18 04:00:00+10:00,1.9184366464614868,1.3121320009231567,1.5146127939224243,1.2720434665679932,1.1404273509979248,2.6217691898345947,5.0
2023-10-18 05:00:00+10:00,1.8756780624389648,1.2320828437805176,1.4393161535263062,1.1999704837799072,1.0718079805374146,2.6093146800994873,6.0
2023-10-18 06:00:00+10:00,1.815058946609497,1.1493850946426392,1.3434590101242065,1.12773597240448,1.0017321109771729,2.547593116760254,7.0
2023-10-18 07:00:00+10:00,1.743982195854187,1.0744004249572754,1.259331226348877,1.0575517416000366,0.928562343120575,2.4777727127075195,8.0
2023-10-18 08:00:00+10:00,1.6861958503723145,1.0201404094696045,1.179539442062378,1.0052757263183594,0.8724863529205322,2.3935110569000244,9.0
2023-10-18 09:00:00+10:00,1.6079329252243042,0.9648534059524536,1.0976476669311523,0.9363845586776733,0.8075015544891357,2.2935950756073,10.0
2023-10-18 10:00:00+10:00,1.5858651399612427,0.9721689820289612,1.0866203308105469,0.9366911053657532,0.8074426054954529,2.2418274879455566,11.0
2023-10-18 11:00:00+10:00,1.6094781160354614,1.0220093727111816,1.1107944250106812,0.9825748801231384,0.8602901101112366,2.203512668609619,12.0
2023-10-18 12:00:00+10:00,1.7802587747573853,1.2631206512451172,1.30312180519104,1.21669340133667,1.0982989072799683,2.2397122383117676,13.0
2023-10-18 13:00:00+10:00,2.184025526046753,1.7437729835510254,1.7248235940933228,1.7024201154708862,1.5812733173370361,2.439862012863159,14.0
2023-10-18 14:00:00+10:00,2.5699543952941895,2.247731924057007,2.1809685230255127,2.2140464782714844,2.086019277572632,2.6571357250213623,15.0
2023-10-18 15:00:00+10:00,2.884584426879883,2.7050468921661377,2.6020584106445312,2.6722588539123535,2.539611577987671,2.855729818344116,16.0
2023-10-18 16:00:00+10:00,3.0583090782165527,2.9690613746643066,2.8540029525756836,2.9301154613494873,2.78482985496521,2.9996707439422607,17.0
2023-10-18 17:00:00+10:00,3.1639747619628906,3.147984027862549,3.0304572582244873,3.0911009311676025,2.933048725128174,3.114931106567383,18.0
2023-10-18 18:00:00+10:00,3.1508662700653076,3.133513927459717,3.0307118892669678,3.056049108505249,2.888267755508423,3.137026071548462,19.0
2023-10-18 19:00:00+10:00,3.0978939533233643,3.039585828781128,2.969487428665161,2.9375271797180176,2.74729585647583,3.1430444717407227,20.0
2023-10-18 20:00:00+10:00,3.020265817642212,2.8847501277923584,2.8743979930877686,2.756460666656494,2.529207468032837,3.1399877071380615,21.0
2023-10-18 21:00:00+10:00,2.864607572555542,2.6298329830169678,2.6933629512786865,2.4849236011505127,2.2363617420196533,3.0848562717437744,22.0
2023-10-18 22:00:00+10:00,2.6798548698425293,2.354422092437744,2.4881534576416016,2.2024893760681152,1.9523197412490845,3.0227694511413574,23.0
2023-10-18 23:00:00+10:00,2.528593063354492,2.131523609161377,2.3292295932769775,1.985798716545105,1.753214716911316,2.9803683757781982,24.0
2023-10-19 00:00:00+10:00,2.3754749298095703,1.8981245756149292,2.1586053371429443,1.7709840536117554,1.568924903869629,2.941315174102783,25.0
2023-10-19 01:00:00+10:00,2.3216354846954346,1.7457664012908936,2.04359769821167,1.6488852500915527,1.478895902633667,2.9450905323028564,26.0
2023-10-19 02:00:00+10:00,2.292963981628418,1.6431063413619995,1.9466391801834106,1.568772315979004,1.4183603525161743,2.9372482299804688,27.0
2023-10-19 03:00:00+10:00,2.2526261806488037,1.5557971000671387,1.8470462560653687,1.4961364269256592,1.3623515367507935,2.9167587757110596,28.0
2023-10-19 04:00:00+10:00,2.281795024871826,1.5057326555252075,1.7831112146377563,1.478744626045227,1.3384201526641846,2.9466981887817383,29.0
2023-10-19 05:00:00+10:00,2.225984573364258,1.424436092376709,1.6866966485977173,1.4107143878936768,1.2701420783996582,2.9023818969726562,30.0
2023-10-19 06:00:00+10:00,2.1594960689544678,1.3577741384506226,1.5955723524093628,1.3630698919296265,1.2212493419647217,2.846646308898926,31.0
2023-10-19 07:00:00+10:00,2.0904552936553955,1.2819691896438599,1.498218297958374,1.3027313947677612,1.1443595886230469,2.7774744033813477,32.0
2023-10-19 08:00:00+10:00,2.0444531440734863,1.1869114637374878,1.3755929470062256,1.217018723487854,1.0446689128875732,2.6879446506500244,33.0
2023-10-19 09:00:00+10:00,1.950468897819519,1.0524755716323853,1.1910057067871094,1.0899384021759033,0.9021841287612915,2.52398943901062,34.0
2023-10-19 10:00:00+10:00,1.8415523767471313,1.0353606939315796,1.1291587352752686,1.0528244972229004,0.8675910234451294,2.364978551864624,35.0
2023-10-19 11:00:00+10:00,1.8604836463928223,1.2347235679626465,1.2734209299087524,1.232275366783142,1.0698723793029785,2.2841358184814453,36.0
2023-10-19 12:00:00+10:00,2.0821728706359863,1.6307876110076904,1.6064050197601318,1.6173896789550781,1.4656453132629395,2.353010654449463,37.0
2023-10-19 13:00:00+10:00,2.412426710128784,2.0807418823242188,2.0062081813812256,2.0654640197753906,1.9204970598220825,2.519146203994751,38.0
2023-10-19 14:00:00+10:00,2.7095749378204346,2.4990179538726807,2.39597749710083,2.4810080528259277,2.3392107486724854,2.7031795978546143,39.0
2023-10-19 15:00:00+10:00,2.9488048553466797,2.827692747116089,2.709799289703369,2.80849289894104,2.660123825073242,2.8940134048461914,40.0
2023-10-19 16:00:00+10:00,3.1377675533294678,3.0808279514312744,2.960500717163086,3.054837942123413,2.8950419425964355,3.0690624713897705,41.0
2023-10-19 17:00:00+10:00,3.2090084552764893,3.187922477722168,3.071823835372925,3.15047550201416,2.97948956489563,3.1504695415496826,42.0
2023-10-19 18:00:00+10:00,3.204103708267212,3.1869542598724365,3.0835955142974854,3.1246824264526367,2.9374215602874756,3.1760239601135254,43.0
2023-10-19 19:00:00+10:00,3.17608904838562,3.1051366329193115,3.0325088500976562,3.015505075454712,2.798900604248047,3.189490556716919,44.0
2023-10-19 20:00:00+10:00,3.01065731048584,2.8574941158294678,2.8473851680755615,2.7402660846710205,2.498262405395508,3.1318745613098145,45.0
2023-10-19 21:00:00+10:00,2.8244075775146484,2.6057112216949463,2.6656227111816406,2.4584033489227295,2.1978914737701416,3.0567774772644043,46.0
2023-10-19 22:00:00+10:00,2.641249895095825,2.356232166290283,2.4805753231048584,2.1942873001098633,1.9319860935211182,2.9926724433898926,47.0
2023-10-19 23:00:00+10:00,2.4618327617645264,2.1399991512298584,2.3154451847076416,1.9749363660812378,1.7291325330734253,2.923246145248413,48.0
2023-10-20 00:00:00+10:00,2.2760517597198486,1.9131762981414795,2.1472785472869873,1.7580900192260742,1.5411733388900757,2.8587687015533447,49.0
2023-10-20 01:00:00+10:00,2.1002213954925537,1.7039165496826172,1.9805049896240234,1.5690983533859253,1.3974553346633911,2.7902534008026123,50.0
