datetime,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,forecast_hours
2023-04-16 18:00:00+10:00,2.7028,2.599469,2.5755,2.4108,-47
2023-04-16 19:00:00+10:00,2.4962,2.512169,2.403,1.808,-46
2023-04-16 20:00:00+10:00,2.1848,2.377269,2.1648,1.4812,-45
2023-04-16 21:00:00+10:00,1.7693,2.306669,0.7078,0.933,-44
2023-04-16 22:00:00+10:00,2.3487,2.226569,1.4483,0.866,-43
2023-04-16 23:00:00+10:00,2.1945,2.193469,1.0927,1.5902,-42
2023-04-17 00:00:00+10:00,1.5823,1.800869,0.4113,1.5342,-41
2023-04-17 01:00:00+10:00,1.5823,1.800869,0.4113,1.5342,-40
2023-04-17 02:00:00+10:00,0.6553,1.000526,1.4228,0.4071,-39
2023-04-17 03:00:00+10:00,0.4997,1.015326,1.1512,0.0747,-38
2023-04-17 04:00:00+10:00,0.3325,0.704326,0.8332,0.0083,-37
2023-04-17 05:00:00+10:00,0.182,0.341526,0.7815,0.0767,-36
2023-04-17 06:00:00+10:00,0.0977,0.272526,0.424,0.1188,-35
2023-04-17 07:00:00+10:00,0.2987,0.315326,0.9832,0.457,-34
2023-04-17 08:00:00+10:00,1.2315,0.694126,1.511,1.0115,-33
2023-04-17 09:00:00+10:00,2.0227,1.811726,1.4717,1.3525,-32
2023-04-17 10:00:00+10:00,2.2735,2.312326,1.824,1.7658,-31
2023-04-17 11:00:00+10:00,2.5545,2.637726,2.501,2.2727,-30
2023-04-17 12:00:00+10:00,2.8277,2.869826,2.6243,2.4498,-29
2023-04-17 13:00:00+10:00,3.0018,2.912426,2.5995,2.5585,-28
2023-04-17 14:00:00+10:00,3.0383,3.122626,2.7842,2.4952,-27
2023-04-17 15:00:00+10:00,2.7025,3.019526,2.7105,2.3622,-26
2023-04-17 16:00:00+10:00,2.3475,2.635026,2.4365,2.1357,-25
2023-04-17 17:00:00+10:00,2.261,2.300726,2.096,1.3418,-24
2023-04-17 18:00:00+10:00,1.8647,1.883026,0.6258,0.405,-23
2023-04-17 19:00:00+10:00,1.4505,1.428426,0.1997,0.0805,-22
2023-04-17 20:00:00+10:00,1.0597,1.221126,0.8957,-0.0063,-21
2023-04-17 21:00:00+10:00,0.5742,1.071126,0.028,0.0172,-20
2023-04-17 22:00:00+10:00,0.4048,0.744626,0.0317,-0.0132,-19
2023-04-17 23:00:00+10:00,0.276,0.337926,0.0183,-0.0078,-18
2023-04-18 00:00:00+10:00,0.1127,0.139426,0.0205,0.0045,-17
2023-04-18 01:00:00+10:00,0.1127,0.139426,0.0205,0.0045,-16
2023-04-18 02:00:00+10:00,0.2238,0.316149,0.1259,0.0379,-15
2023-04-18 03:00:00+10:00,0.0675,0.208549,0.2352,0.0315,-14
2023-04-18 04:00:00+10:00,0.0797,0.143549,0.0025,0.0363,-13
2023-04-18 05:00:00+10:00,0.0672,0.199649,0.0423,0.0315,-12
2023-04-18 06:00:00+10:00,0.08,0.089549,0.0178,0.0337,-11
2023-04-18 07:00:00+10:00,0.1403,0.184949,0.2023,0.1042,-10
2023-04-18 08:00:00+10:00,0.5253,0.371749,0.4337,0.39941922,-9
